cluster,CLV
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
0,-0.01221154616171832
